squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category,PoolAndYard,TheYearRange
75523,3,63,9373,3,8,2005,FALSE,TRUE,4313,9005,956,FALSE,7,7559081.5,Basic,has pool and no yard,from 2000 to 2010
80771,39,98,39381,8,6,2015,TRUE,FALSE,3653,2436,128,TRUE,2,8085989.5,Luxury,has pool and has yard,after 2011
55712,58,19,34457,6,8,2021,FALSE,FALSE,2937,8852,135,TRUE,9,5574642.1,Basic,has pool and no yard,after 2011
32316,47,6,27939,10,4,2012,FALSE,TRUE,659,7141,359,FALSE,3,3232561.2,Basic,no pool and no yard,after 2011
70429,19,90,38045,3,7,1990,TRUE,FALSE,8435,2429,292,TRUE,4,7055052,Luxury,has pool and has yard,from 1990 to 1999
39223,36,17,39489,8,6,2012,FALSE,TRUE,2009,4552,757,FALSE,1,3926647.2,Basic,has pool and no yard,after 2011
58682,10,99,6450,10,9,1995,TRUE,TRUE,5930,9453,848,FALSE,5,5876376.5,Luxury,has pool and has yard,from 1990 to 1999
86929,100,11,98155,3,4,2003,TRUE,FALSE,6326,4748,654,FALSE,10,8696869.3,Basic,no pool and has yard,from 2000 to 2010
51522,3,61,9047,8,3,2012,TRUE,TRUE,632,5792,807,TRUE,5,5154055.2,Basic,no pool and no yard,after 2011
39686,42,15,71019,5,8,2021,TRUE,TRUE,5198,5342,591,TRUE,3,3970892.1,Basic,no pool and no yard,after 2011
23563,21,90,91058,6,8,1993,TRUE,FALSE,703,852,684,TRUE,10,2366397.3,Basic,has pool and no yard,from 1990 to 1999
96470,74,21,92029,4,2,2011,TRUE,TRUE,5414,1172,716,TRUE,9,9652258.1,Basic,no pool and has yard,after 2011
19127,31,5,7475,2,9,2008,FALSE,FALSE,5387,4430,374,FALSE,4,1914688.8,Basic,no pool and has yard,from 2000 to 2010
13087,44,77,40475,8,4,2004,TRUE,FALSE,1745,724,582,FALSE,0,1320803.4,Basic,no pool and has yard,from 2000 to 2010
79770,3,69,54812,10,5,2018,FALSE,TRUE,8871,7117,240,FALSE,7,7986665.8,Basic,has pool and no yard,after 2011
75985,60,67,6517,6,9,2009,TRUE,TRUE,4878,281,384,TRUE,5,7607322.9,Basic,no pool and has yard,from 2000 to 2010
64169,88,6,61711,3,9,2011,TRUE,TRUE,3054,129,726,FALSE,9,6420823.1,Basic,has pool and no yard,after 2011
99371,31,16,96297,7,8,2013,TRUE,TRUE,3258,6296,354,TRUE,8,9944705.3,Luxury,has pool and has yard,after 2011
25966,37,17,22818,3,1,2016,FALSE,FALSE,8257,2557,162,FALSE,6,2604486.6,Basic,has pool and has yard,after 2011
41792,43,10,80768,9,5,2017,TRUE,TRUE,2950,9573,572,TRUE,5,4187667.7,Luxury,has pool and has yard,after 2011
28795,64,50,97667,3,4,2009,TRUE,TRUE,9862,2666,330,TRUE,0,2888047.9,Luxury,has pool and has yard,from 2000 to 2010
92383,12,78,71982,3,7,2000,FALSE,FALSE,7507,9056,892,TRUE,1,9244344,Basic,no pool and no yard,from 2000 to 2010
33279,64,65,91690,3,2,2019,TRUE,TRUE,2427,717,732,FALSE,1,3333351.9,Basic,no pool and has yard,after 2011
34782,47,73,35331,1,4,2020,FALSE,TRUE,9586,6604,822,FALSE,2,3482594,Basic,no pool and no yard,after 2011
13386,51,90,87978,4,6,1993,FALSE,FALSE,2885,1149,904,TRUE,4,1342509.3,Basic,no pool and no yard,from 1990 to 1999
20883,56,54,85377,5,9,2018,FALSE,FALSE,9982,8142,670,TRUE,10,2091505.8,Basic,no pool and no yard,after 2011
95121,46,3,9382,7,9,1994,FALSE,FALSE,615,1221,328,FALSE,10,9515440.4,Basic,has pool and no yard,from 1990 to 1999
6071,72,14,8410,2,6,2003,TRUE,TRUE,3306,3635,295,FALSE,2,612471.3,Basic,no pool and has yard,from 2000 to 2010
11844,43,55,46144,6,5,1993,TRUE,FALSE,5292,8233,395,FALSE,10,1189939.3,Basic,no pool and no yard,from 1990 to 1999
52078,7,73,20372,10,4,2016,TRUE,TRUE,1864,2049,558,FALSE,5,5217708.6,Luxury,has pool and has yard,after 2011
25897,98,92,20344,2,4,1993,FALSE,TRUE,9799,9569,116,TRUE,10,2598763.3,Basic,no pool and has yard,from 1990 to 1999
85443,40,54,339,3,1,2021,TRUE,FALSE,3056,8928,292,TRUE,2,8555234.1,Luxury,has pool and has yard,after 2011
11412,78,79,73807,1,5,2009,TRUE,TRUE,6899,8997,695,FALSE,0,1145642.9,Basic,no pool and no yard,from 2000 to 2010
97550,89,98,78155,2,5,2014,TRUE,FALSE,5391,897,388,FALSE,0,9765099.4,Luxury,has pool and has yard,after 2011
76485,47,9,90254,2,9,2008,TRUE,FALSE,2860,3129,982,FALSE,1,7653300.8,Basic,no pool and has yard,from 2000 to 2010
26169,29,62,66489,9,7,1993,FALSE,TRUE,7918,187,919,TRUE,9,2622399.3,Basic,no pool and no yard,from 1990 to 1999
24239,87,91,73056,4,7,1998,FALSE,FALSE,6656,7149,698,FALSE,3,2427801.8,Basic,no pool and has yard,from 1990 to 1999
36239,8,24,66771,7,6,1990,FALSE,TRUE,6679,6528,798,TRUE,5,3627708,Basic,has pool and no yard,from 1990 to 1999
10500,88,49,10533,10,1,2013,TRUE,TRUE,4170,5501,422,FALSE,5,1057021.3,Basic,has pool and no yard,after 2011
87060,27,91,51803,8,10,2000,FALSE,FALSE,6629,435,512,FALSE,7,8711426,Basic,has pool and no yard,from 2000 to 2010
66683,19,6,50801,6,2,2001,FALSE,FALSE,7473,796,237,TRUE,3,6677649.1,Basic,has pool and has yard,from 2000 to 2010
66569,59,56,15574,7,9,2016,TRUE,TRUE,2020,7188,269,TRUE,10,6667802.6,Luxury,has pool and has yard,after 2011
84559,29,69,53057,7,7,2000,TRUE,FALSE,3573,9556,918,TRUE,8,8460604,Basic,has pool and no yard,from 2000 to 2010
28749,39,53,80821,6,5,1996,TRUE,FALSE,8113,2352,982,TRUE,3,2877997.6,Basic,has pool and no yard,from 1990 to 1999
76091,38,32,59451,5,8,2016,TRUE,FALSE,8150,6037,930,FALSE,7,7614076.6,Basic,no pool and has yard,after 2011
92696,49,38,74381,9,2,2021,FALSE,FALSE,1559,5111,957,TRUE,2,9272740.1,Basic,no pool and has yard,after 2011
46988,66,27,4863,9,10,1991,TRUE,TRUE,8339,6331,874,TRUE,4,4707341.1,Luxury,has pool and has yard,from 1990 to 1999
48062,22,4,28104,1,10,2008,TRUE,FALSE,7908,552,817,TRUE,1,4809993.8,Basic,has pool and no yard,from 2000 to 2010
